id,front,back,status,tags
1,What drug is used for the treatment of juvenile idiopathic arthritis?,Answer: D: methotrexate Explanation: JIA: methotrexate is a conventional disease-modifying drug for persistent/moderate inflammatory arthritis; NSAIDs alone are symptomatic therapy.,valid,pediatrics leks 2026 valid
2,Which of the following concerning Carney syndrome is FALSE ?,"Answer: C: occurs after puberty, most often in men Explanation: Carney complex is autosomal dominant, usually due to an inactivating PRKAR1A mutation. PPNAD can cause cyclical/subclinical Cushing syndrome and a paradoxical cortisol rise on prolonged dexamethasone testing. The false claim is that it occurs only after puberty and mostly in men.",caveat/updated,pediatrics leks 2026 caveat_updated
3,Congenital metabolic disorders should be considered when there is an episode of:,"Answer: D: A,B,C are true Explanation: Think inborn error when an otherwise unexplained neonate/child has hydrops, a Reye-like episode, seizures, or apnoea without infection. Metabolic disease can decompensate abruptly after feeding or catabolic stress.",valid,pediatrics leks 2026 valid
4,WHICH OF THE FOLLOWING IS NOT a typical symptom of the early phase of Streptococcus agalactiae infection in neonates?,"Answer: C: osteitis Explanation: Early-onset group B streptococcal disease is classically sepsis/pneumonia with respiratory distress, pulmonary hypertension or shock; osteitis is a focal late-onset manifestation, not a typical early feature.",valid,pediatrics leks 2026 valid
5,"Which of the following clinical problems may indicate primary immunodeficiency? 1) six acute otitis media in a child 4 years of age during a year; 2) seven mild episodes of pharyngitis during a year in a 3-year-old child attending kindergarten; 3) purulent inflammation of the hip joint caused by Staphylococcus aureus in a 5-year- old child and extensive liver abscess of the same etiology at 9 years of age; 4) childhood tuberculosis in a mother, BCGitis in her son; 5) a 7-year-old unvaccinated against pneumococci boy underwent invasive pneumococcal disease; the boy had no problematic disease…","Answer: INVALID / OUTDATED - do not memorize the legacy key Caveat: The PDF truncates statement 6, yet every answer combination depends on it. The legacy key therefore cannot be independently reconstructed from the source. Explanation: SOURCE TRUNCATION: statement 6 is missing from the PDF, so the keyed combination cannot be independently reconstructed. PID red flags include recurrent severe infections, deep abscesses, unusual organisms, BCGitis, poor response to antibiotics and a suggestive family history.",invalid/outdated,pediatrics leks 2026 invalid_outdated
6,"In a patient with the symptoms of acute urticaria with no allergy in anamnesis, it is necessary to order:","Answer: E: none of the above Caveat: Legacy D requires routine CBC/CRP + skin-prick + physical provocation testing for uncomplicated acute urticaria. Modern acute urticaria is usually diagnosed clinically; testing is targeted to history or persistent/atypical disease, so E is the best offered answer. Explanation: Modern acute urticaria is usually a clinical diagnosis. In uncomplicated acute spontaneous urticaria, routine CBC/CRP, skin-prick testing and physical-provocation testing are not automatically required.",caveat/updated,pediatrics leks 2026 caveat_updated
7,What are the typical features of pseudohypoparathyroidism?,"Answer: B: low serum calcium and high serum phosphate concentrations Explanation: Pseudohypoparathyroidism = PTH resistance: low Ca, high phosphate, high PTH. Albright hereditary osteodystrophy can include shortened 4th/5th metacarpals.",valid,pediatrics leks 2026 valid
8,"Indicate FALSE sentences concerning vesico-ureteral reflux (VUR): 1) diagnosis is based on voiding cystourethrography; 2) we identify five grades of VUR; 3) only grade I primary VUR is treated conservatively; 4) refluxes with ureteral distension are treated surgically; 5) grade I, II, III VUR are treated conservatively","Answer: B: 3,4 Caveat: Legacy A treats statement 4 as true. Ureteral dilatation/high-grade VUR does not automatically mandate surgery; management is risk-based. Statements 3 and 4 are the false pair, making B the defensible option. Explanation: VUR has five grades on VCUG. Low-grade reflux is usually managed conservatively; ureteral dilatation alone does not mandate surgery. Surgery is individualized for persistent high-grade disease, breakthrough febrile UTIs, renal damage and other risk factors.",caveat/updated,pediatrics leks 2026 caveat_updated
9,A type of monogenic diabetes characterized by autosomal dominant inheritance and constantly elevated fasting glycemia which generally DOES NOT require pharmacological treatment is:,"Answer: C: MODY2 diabetes Explanation: MODY2 (GCK-MODY) causes mild, stable fasting hyperglycaemia, autosomal-dominant inheritance and usually no pharmacologic treatment outside pregnancy-specific situations.",valid,pediatrics leks 2026 valid
10,In children fever and small itchy blisters that form crusts within 7 days are the symptoms of:,Answer: D: chickenpox Explanation: Chickenpox: fever + crops of intensely pruritic vesicles that crust over. Lesions in different stages at the same time are a classic clue.,valid,pediatrics leks 2026 valid
11,A patient with measles is contagious for:,"Answer: INVALID / OUTDATED - do not memorize the legacy key Caveat: The offered intervals use 5- or 7-day windows. Current measles infectiousness is 4 days before through 4 days after rash onset, so none of the options is exactly current. Explanation: OUTDATED OPTIONS: measles is considered infectious from 4 days before through 4 days after rash onset (rash day = day 0). None of the offered intervals matches current guidance.",invalid/outdated,pediatrics leks 2026 invalid_outdated
